Category	level	distribution_channel	period	dt	manufacturer	brand	BBSKU	NAMESKU	ean	segment	format	tar_rmce	vol	val	rcnt	qty	shvol	shval	shrcnt	shqty	dntot	dn	dnvol	dnval	dwqty	dwvaltot	shsvol	shsval	avp	avpjm	avtvol	avtval	avtqty	avsvol	avsval	avsrcnt	avsqty	avgsku
lawyer	5	Online	3	04/10/2025	Henderson-Owens	shoulder	BB0106	should	5133387262473	enjoy	two	0.88	880.48	375.83	21	225	83.54	70.65	40	414	3615.91	13.83	410.38	156.7	340	112.55	87.93	27.18	89.08	74.5	163.89	288.94	108	72.04	21.16	82	437	271
wind	5	Online	5	04/10/2025	Ramos PLC	billion	BB0801	with	3267736026064	evidence	with	0.09	429.34	283.91	1	171	77.34	64.07	17	83	3964.92	280.32	219.57	14.74	39	945.6	69.41	15.76	4.57	37.55	557.0	435.49	22	31.52	90.0	6	461	367
step	2	Wholesale	4	04/11/2025	Mitchell-Horton	side	BB8723	fine	3098050097887	coach	art	0.35	564.28	875.97	80	384	16.3	93.06	11	500	4199.55	96.76	212.02	97.89	474	338.86	93.15	80.42	86.54	81.26	274.14	789.5	56	38.87	4.83	61	114	205
movie	4	Online	5	04/08/2025	York Inc	physical	BB1361	year	9399091699851	worry	every	0.22	663.43	404.48	36	443	7.87	77.56	23	329	3037.62	342.96	423.39	172.26	15	124.19	97.07	18.68	96.29	27.28	117.32	440.22	374	78.86	44.2	66	60	395
democratic	5	Retail	5	04/11/2025	Moran, Allen and Foster	remain	BB4751	act	7991183842514	until	election	0.71	11.67	926.32	69	352	72.22	74.45	43	101	2456.89	44.29	335.48	171.8	161	666.75	13.34	90.1	51.21	67.02	332.92	700.24	284	13.6	42.62	49	347	767
hope	2	Wholesale	10	04/11/2025	Moore-Bass	score	BB4980	region	8412411824496	develop	series	0.41	835.39	310.84	27	221	78.79	61.06	21	239	2767.14	341.06	260.48	398.93	492	798.06	17.8	9.39	52.03	63.66	341.84	820.24	385	24.25	31.73	26	76	26
gun	1	Retail	8	04/11/2025	Watts LLC	mouth	BB7401	protect	6400524278680	act	brother	0.85	82.1	420.3	81	295	20.25	69.94	32	205	1975.94	331.47	12.72	377.97	395	886.61	78.06	22.67	80.61	69.9	469.9	561.83	470	84.99	46.19	60	342	544
bag	5	Wholesale	6	04/09/2025	Mckee, Gardner and Davenport	pass	BB8262	analysis	4505331586927	wish	wonder	0.61	722.08	509.73	71	229	89.82	74.62	31	231	2036.77	131.15	322.45	385.25	267	489.75	24.69	44.55	71.64	24.21	342.49	894.1	42	14.7	23.89	89	79	724
economic	2	Retail	7	04/08/2025	Cherry and Sons	upon	BB6025	stay	6342160733751	focus	tend	0.33	471.27	71.64	54	200	90.58	58.82	45	11	4426.93	385.14	196.39	12.89	181	305.63	39.61	89.27	83.74	54.28	737.29	801.87	460	22.83	22.72	56	249	30
stuff	4	Online	11	04/07/2025	Walker Ltd	data	BB6541	spring	4586850142948	American	boy	0.72	842.1	920.35	80	274	3.67	40.01	37	340	1108.41	324.95	76.49	236.23	26	267.55	33.41	46.02	34.41	88.08	285.47	951.69	216	25.97	9.11	3	384	553
pick	1	Online	4	04/08/2025	Reed-Hartman	least	BB9816	we	9340608835613	red	wife	0.78	655.24	756.69	32	103	84.08	62.51	16	65	2894.24	66.05	474.4	237.87	132	769.23	17.61	61.12	75.04	12.34	821.11	965.07	56	58.29	92.96	74	347	930
give	4	Online	12	04/11/2025	Edwards, Charles and Cortez	first	BB8465	interesting	4823662994687	these	a	0.08	693.71	630.97	14	357	77.48	85.18	39	413	1484.22	492.08	393.49	180.13	220	664.91	7.83	65.11	2.25	42.59	495.3	439.19	186	63.92	83.04	91	79	446
fly	2	Wholesale	9	04/07/2025	Clark-Floyd	policy	BB5777	Republican	3872148951349	down	sure	0.62	920.42	776.9	60	224	82.75	59.65	21	437	1981.98	467.96	146.67	230.89	385	470.06	61.42	38.52	3.84	85.24	190.02	220.0	409	26.58	28.69	77	360	902
decide	3	Wholesale	1	04/07/2025	Johnson and Sons	may	BB9176	various	9367632016320	summer	safe	0.95	94.76	722.87	63	285	76.06	69.37	42	365	2963.29	398.54	55.6	118.58	355	250.87	66.73	37.53	55.79	35.03	996.67	554.88	181	70.58	27.82	33	119	124
national	2	Online	2	04/10/2025	Williams-Wright	thus	BB1727	region	8895798687272	listen	event	0.95	693.26	199.63	95	248	28.37	59.37	49	269	3387.16	490.45	417.99	155.16	185	187.65	2.4	53.88	28.16	97.46	557.83	700.44	65	64.15	75.53	14	447	13
society	5	Online	8	04/11/2025	Larsen LLC	space	BB8734	less	1434558122362	rule	claim	0.44	192.52	60.86	62	59	82.39	40.67	5	296	3517.78	36.27	83.11	285.79	156	94.33	25.57	56.25	42.2	60.02	622.23	777.94	195	45.6	44.83	76	220	313
seat	5	Wholesale	1	04/11/2025	Brown Group	give	BB8760	design	6690967054662	nothing	small	0.96	108.24	765.11	81	109	27.2	9.04	16	89	3207.97	86.7	210.17	347.79	241	298.35	23.92	70.99	70.6	45.95	690.51	924.67	404	79.33	59.39	26	218	118
simple	5	Retail	11	04/09/2025	Marsh, Hurst and Freeman	explain	BB6706	great	6272980699015	question	later	0.91	828.36	80.7	22	406	31.45	75.15	37	472	2154.44	70.93	347.45	352.87	483	279.52	54.46	44.34	60.21	89.05	737.19	607.68	14	10.04	96.23	74	301	974
central	1	Wholesale	5	04/08/2025	White-Green	generation	BB3755	sort	6464170805317	statement	reach	0.04	758.71	475.8	84	227	91.69	18.97	38	224	3539.14	250.95	54.71	180.5	171	327.85	11.36	16.92	41.75	50.05	665.96	406.45	390	55.46	46.03	41	130	332
amount	1	Online	9	04/08/2025	Herring and Sons	those	BB0923	card	7193745299129	foreign	box	0.66	547.17	419.12	25	266	36.82	75.89	41	227	4039.96	109.74	279.12	464.56	225	882.04	48.99	3.86	63.37	80.13	712.68	317.64	8	55.67	10.23	15	237	970
particular	1	Wholesale	3	04/08/2025	Hickman PLC	research	BB6631	person	3149190586516	move	raise	0.93	298.94	708.36	54	428	48.77	47.75	30	283	1578.57	103.4	303.7	375.68	70	865.39	28.35	79.21	42.08	93.49	512.66	822.34	145	72.88	83.91	75	338	502
growth	2	Online	9	04/11/2025	Atkinson Group	born	BB6572	learn	2849877694534	then	worry	0.35	556.4	548.0	59	478	32.86	19.68	45	123	3287.19	124.45	390.02	31.39	382	478.25	91.43	38.74	98.85	79.45	655.5	160.58	494	4.66	50.73	76	170	891
before	1	Online	2	04/09/2025	Keith-Sanchez	majority	BB9965	air	7527354549489	action	nation	0.91	25.19	152.71	84	497	16.28	47.48	17	174	3493.04	204.77	49.35	171.0	346	860.75	38.62	32.35	72.15	76.18	873.66	45.54	36	24.24	68.76	37	117	765
yourself	1	Online	2	04/09/2025	Miller Ltd	investment	BB7837	race	7701436349574	on	nice	0.44	697.06	904.39	6	167	79.82	30.04	24	221	1582.28	270.27	287.3	398.33	88	183.32	61.34	38.87	68.63	50.27	587.33	239.87	327	26.14	26.28	2	461	824
guy	4	Online	11	04/10/2025	Barajas-Pierce	he	BB7444	during	1351823374984	picture	fear	0.16	447.31	352.11	76	154	64.25	43.01	17	234	4381.22	107.62	198.5	246.77	122	387.55	36.54	30.29	70.23	3.17	831.74	401.85	5	57.03	68.89	96	499	51
black	5	Wholesale	8	04/09/2025	Phillips LLC	country	BB4082	eye	84271094777	let	grow	0.78	237.82	803.91	29	326	19.82	25.81	49	370	4069.88	343.62	77.02	57.61	322	649.88	31.58	44.64	58.38	73.5	99.23	302.16	383	42.13	20.88	70	449	995
create	3	Wholesale	9	04/11/2025	King Group	build	BB1671	part	229413186990	street	present	0.83	264.4	826.44	62	496	80.84	74.91	22	412	1460.68	481.82	78.97	483.59	441	679.56	67.77	40.34	84.73	56.17	99.4	400.63	136	54.12	46.02	87	384	689
draw	3	Wholesale	7	04/10/2025	James, Kerr and Evans	per	BB6499	as	9133412328125	able	issue	0.11	241.48	34.77	72	168	91.61	22.92	5	326	4295.42	455.6	158.07	210.06	72	54.89	4.68	99.6	12.5	24.25	542.17	394.76	190	67.38	74.57	70	215	602
little	2	Online	11	04/10/2025	Wheeler, Carter and Hall	seat	BB4713	window	4936183242103	company	structure	0.83	619.5	939.66	36	17	69.34	22.51	29	487	1944.45	187.72	490.65	189.99	462	978.06	36.51	40.42	19.79	13.09	849.55	460.17	340	22.0	64.31	3	26	806
food	3	Retail	3	04/09/2025	Curry, Carroll and Roberts	capital	BB7464	month	8771906594017	drop	represent	0.21	831.52	558.67	76	111	81.49	24.07	50	76	4154.58	302.03	145.86	492.17	67	544.81	80.05	11.88	86.78	14.05	364.66	790.55	302	33.05	18.25	7	65	760
think	4	Wholesale	2	04/07/2025	Matthews, Smith and Hubbard	term	BB4902	many	8742967175651	full	religious	0.48	780.24	518.11	14	232	50.88	94.6	3	373	4132.91	434.82	265.51	234.44	494	40.84	99.86	84.88	43.2	11.69	715.28	449.13	461	9.0	61.22	9	65	282
book	5	Wholesale	10	04/09/2025	Rivera Ltd	mission	BB4680	look	1545168087603	cup	national	0.71	387.1	601.42	38	233	51.05	43.59	45	59	4411.17	328.95	386.79	363.21	111	435.77	88.92	41.97	82.91	40.47	732.32	319.42	161	66.85	38.06	20	352	946
high	4	Retail	2	04/10/2025	Avila, Garrett and Wolf	Democrat	BB4824	left	7109324808613	down	thought	0.09	105.6	741.41	17	285	6.94	95.71	36	169	3680.05	211.3	438.07	471.15	217	869.41	72.39	96.87	60.44	35.81	582.14	220.61	337	48.74	84.88	45	433	570
while	3	Retail	5	04/09/2025	Murray Inc	raise	BB2748	season	4677378263984	skin	until	0.23	434.82	565.36	99	420	62.55	67.82	36	14	3435.98	332.34	349.8	24.19	140	705.67	31.59	34.64	1.6	87.12	570.66	406.78	73	74.36	97.21	12	383	544
century	2	Online	7	04/11/2025	Hill Group	grow	BB8404	she	4997278755885	huge	lose	0.34	376.35	724.38	100	483	57.19	9.41	4	80	1629.64	312.74	340.24	143.33	339	429.77	61.1	42.0	22.34	51.72	351.72	119.78	348	68.17	49.18	86	158	47
worker	2	Online	10	04/07/2025	Kane-Pollard	edge	BB9636	animal	5766270289518	two	through	0.01	308.41	219.12	18	392	26.3	33.48	1	255	3988.06	96.09	196.3	354.8	257	563.14	67.14	36.06	40.31	74.46	441.86	465.16	40	86.35	58.0	74	208	727
less	4	Online	2	04/07/2025	Fox Group	administration	BB2621	manager	4596158657808	prepare	authority	0.02	331.52	803.31	80	236	83.37	92.06	6	224	4377.94	129.23	298.55	266.74	203	871.82	74.83	22.94	78.13	8.56	636.89	535.3	100	90.69	35.59	94	491	839
easy	2	Retail	2	04/08/2025	Cohen, Mitchell and Perez	believe	BB6117	compare	4005045562380	its	others	0.26	181.76	161.34	98	336	8.46	95.18	41	253	2855.81	286.23	293.94	343.76	452	568.85	63.89	62.83	86.56	63.09	159.45	77.6	227	63.51	79.84	76	29	361
rest	5	Retail	5	04/10/2025	Jackson Inc	poor	BB6937	while	9237474074829	back	letter	0.45	66.32	833.38	10	331	86.56	85.67	40	305	3028.27	236.73	281.62	397.99	459	50.61	91.0	57.59	19.64	60.9	506.35	958.15	231	11.25	90.01	44	366	87
you	5	Wholesale	3	04/09/2025	Huerta-Evans	language	BB4743	if	7136959440642	across	others	0.25	443.38	445.03	67	313	16.72	37.91	19	199	2635.08	175.8	302.96	396.72	332	341.3	33.64	56.24	39.27	25.95	853.05	964.77	309	87.45	34.0	75	340	145
treatment	3	Online	11	04/10/2025	Osborne, Beltran and Lozano	skill	BB7439	suffer	5339421047093	his	sign	0.13	711.75	93.87	72	193	64.71	33.52	9	344	3811.32	474.08	498.61	457.1	48	649.56	42.92	36.82	36.9	18.85	222.05	948.19	249	20.01	100.0	20	40	303
catch	1	Wholesale	9	04/09/2025	Browning LLC	small	BB6232	stop	8588424745179	bag	chance	0.04	343.4	768.64	17	306	38.3	17.06	45	395	3498.96	452.3	363.38	31.41	187	679.6	24.52	44.98	29.21	75.11	454.44	538.67	159	96.59	78.65	25	189	695
somebody	5	Online	8	04/09/2025	Dalton Ltd	represent	BB6851	street	6048175496512	Republican	east	0.78	507.88	424.47	21	419	20.77	60.86	17	27	3564.72	438.32	281.72	60.27	434	520.75	13.34	9.3	16.87	45.48	518.22	832.74	47	94.69	22.98	58	453	358
market	1	Online	1	04/09/2025	Harvey PLC	generation	BB9317	where	4612004711385	central	important	0.5	243.42	994.58	48	115	3.79	93.15	46	333	2341.16	81.56	28.77	459.52	242	699.11	14.74	70.85	45.41	1.52	88.43	263.36	428	15.8	94.08	78	271	434
long	1	Online	4	04/07/2025	Santiago-Paul	young	BB8692	value	6179640537734	top	him	0.12	246.06	642.56	80	235	7.22	83.83	32	306	3144.22	319.66	291.77	362.09	150	434.95	61.87	24.82	42.24	66.77	94.76	974.91	35	95.39	54.86	65	284	21
bit	4	Online	1	04/07/2025	Richardson, Winters and Newman	ask	BB6431	thus	7139005329311	themselves	southern	0.98	261.11	26.08	9	177	24.87	66.05	7	396	3327.61	380.77	75.37	182.63	174	815.37	18.33	78.14	47.0	69.84	635.42	813.38	33	71.89	94.42	5	151	207
once	1	Retail	1	04/07/2025	Willis and Sons	get	BB2904	town	2284210205396	game	admit	0.93	520.23	989.23	70	243	26.08	75.58	13	147	2427.9	392.61	434.24	172.64	64	801.35	44.26	40.6	44.53	95.69	345.65	194.95	355	50.25	92.51	67	137	821
contain	1	Wholesale	7	04/08/2025	Williams-Harmon	never	BB1177	star	5891783908479	question	allow	0.43	995.15	188.65	38	165	11.16	33.46	19	157	2783.66	361.65	91.66	227.52	229	51.93	87.13	35.9	99.82	28.18	980.23	948.43	39	67.45	41.21	66	411	768
ask	2	Retail	3	04/09/2025	Boone-Simmons	box	BB7711	fund	9212499856988	financial	long	0.68	443.79	134.97	31	399	64.87	36.85	37	17	3420.38	342.74	474.92	192.29	391	86.12	14.63	37.33	32.12	28.59	960.91	35.65	96	50.41	39.31	72	61	269
mouth	3	Wholesale	8	04/11/2025	Jordan, Mcguire and Wilson	real	BB8367	view	3657661565453	claim	right	1.0	292.72	917.31	63	103	13.14	85.43	29	89	4594.72	228.1	53.02	344.15	433	986.71	67.12	71.24	55.45	29.75	306.96	165.93	364	92.81	64.13	47	261	230
wind	1	Retail	3	04/10/2025	Jones-Decker	better	BB6152	only	988516560495	forget	he	0.79	36.02	558.48	48	240	80.56	55.61	40	453	1344.86	161.55	499.8	362.25	270	416.69	41.53	57.92	13.41	32.39	83.42	471.17	265	35.11	87.92	100	283	656
body	5	Retail	3	04/11/2025	Romero, Moore and Olson	throw	BB1585	building	4936899809409	couple	explain	0.5	869.53	833.08	67	79	31.11	17.03	46	116	2384.09	471.04	448.51	424.51	129	204.34	95.68	28.17	62.88	61.83	102.49	644.58	304	94.22	16.27	85	320	738
scientist	5	Online	10	04/11/2025	Dorsey-Bell	course	BB2961	change	183667525458	standard	year	0.83	38.09	55.01	83	395	58.1	65.46	50	293	2666.35	323.11	254.04	317.31	149	645.49	30.91	25.24	80.93	41.2	459.01	691.73	81	44.52	48.94	27	175	622
out	2	Online	12	04/08/2025	Miller, Williams and Moore	prepare	BB0147	recently	6797643815613	federal	resource	0.73	862.17	975.62	17	390	37.68	56.6	21	124	2865.89	141.06	131.48	57.44	149	945.93	86.55	42.4	96.31	90.33	815.34	934.41	370	31.96	76.55	64	264	479
resource	4	Online	8	04/08/2025	Tucker, Estrada and Williams	indicate	BB9003	fish	3244510762264	no	score	0.09	399.31	462.66	31	111	58.75	5.82	19	254	3390.08	423.0	339.54	150.02	5	848.7	43.66	88.36	73.02	76.62	372.28	406.58	292	56.62	36.89	37	38	396
drug	5	Online	9	04/08/2025	Hansen, Barnett and Gomez	industry	BB0607	will	1596966416058	Congress	suddenly	0.83	627.01	614.93	17	500	10.57	37.95	22	286	4755.79	379.93	107.54	259.47	257	49.85	4.85	71.65	80.59	52.41	157.45	894.2	72	33.47	61.69	21	202	632
yourself	3	Wholesale	6	04/07/2025	Stevens, Norris and Cox	leave	BB1369	institution	8164535218186	Mrs	daughter	0.83	537.02	711.65	39	244	81.76	37.47	44	57	4919.59	296.01	400.41	365.41	353	632.97	60.09	27.29	65.9	97.23	582.69	235.27	27	58.77	17.88	81	370	635
western	4	Retail	11	04/07/2025	Bell-Mullen	quite	BB2312	establish	3292127799791	question	prove	0.03	948.72	118.8	3	226	32.06	15.99	45	105	2641.51	389.74	461.06	437.68	377	730.13	70.87	52.35	56.53	99.81	483.59	383.06	490	18.15	91.3	44	280	363
probably	3	Wholesale	8	04/09/2025	Lin-Burton	city	BB7177	program	4490581477005	home	theory	0.96	286.22	305.51	39	395	29.61	21.52	46	251	2268.16	180.91	467.51	399.75	141	294.91	57.77	54.78	89.68	40.06	351.68	775.33	75	29.75	29.48	92	41	355
few	4	Wholesale	5	04/10/2025	Newman Inc	possible	BB9867	partner	8079359782075	board	talk	0.21	829.67	278.42	72	357	27.89	11.81	48	301	1957.13	34.88	453.54	120.58	120	61.97	41.92	72.02	10.95	77.31	15.13	554.85	476	16.64	65.64	61	245	667
way	2	Online	6	04/08/2025	Haas-Miller	race	BB2037	leg	8892554665901	strategy	program	0.65	908.86	98.57	74	119	53.98	72.59	3	468	4685.88	214.76	420.43	467.62	19	997.2	40.3	50.04	93.72	96.25	926.78	877.98	5	30.54	60.68	43	146	466
radio	5	Wholesale	8	04/07/2025	Jones-Davis	resource	BB6449	TV	2519254629144	operation	however	0.85	473.34	200.88	15	170	17.09	46.43	17	368	1744.8	370.94	397.48	288.21	388	201.23	61.48	64.23	41.14	43.34	334.65	406.82	49	19.29	14.92	42	480	255
question	1	Online	7	04/11/2025	Li-Santiago	them	BB8168	high	542357332217	find	three	0.45	274.32	336.33	75	371	57.71	26.89	24	355	1945.21	337.22	238.04	88.26	352	507.5	89.62	70.65	31.79	12.62	916.97	302.09	315	22.86	95.78	62	79	466
story	5	Online	7	04/11/2025	Romero PLC	thing	BB8059	catch	9622292706531	life	popular	0.91	759.78	803.98	28	391	25.5	75.72	6	270	2786.99	354.85	48.27	286.44	32	830.49	90.39	21.01	54.13	17.29	855.94	447.42	349	21.33	58.73	12	461	523
feel	4	Retail	8	04/09/2025	Bowers, Young and Allen	table	BB7359	let	7468862392405	put	medical	0.51	462.23	67.16	60	345	80.88	72.6	26	131	4265.81	375.44	293.37	32.19	177	703.38	54.58	6.97	89.53	98.63	477.35	294.22	93	77.13	76.82	94	331	987
two	4	Online	7	04/11/2025	Spencer-Garcia	throughout	BB8141	source	2478261375065	argue	individual	0.87	907.7	381.89	88	494	66.52	54.39	42	441	2391.08	97.45	273.26	269.13	373	978.94	83.65	75.86	97.87	46.84	721.9	429.89	195	82.51	25.5	45	80	283
morning	2	Wholesale	2	04/09/2025	Young-Vang	house	BB3051	those	5220472779012	after	establish	0.81	425.05	768.39	3	124	21.4	10.99	3	229	3391.14	354.61	33.85	372.87	206	444.57	54.44	75.68	77.83	14.87	993.55	241.82	470	73.42	32.57	77	396	689
dinner	3	Retail	5	04/11/2025	Dunn Ltd	politics	BB8614	economy	4103697117986	admit	project	0.99	526.04	419.42	36	32	56.12	59.58	48	467	1700.53	342.59	282.37	32.97	177	942.17	67.46	78.79	32.55	42.22	157.73	382.7	387	54.25	24.86	29	154	879
myself	2	Online	1	04/08/2025	Allen, Thomas and Patterson	possible	BB5396	culture	1851888880678	animal	prove	0.41	422.34	534.69	50	125	26.24	33.7	6	473	2799.15	191.83	272.46	416.41	27	275.78	67.69	60.69	87.49	19.63	764.08	727.06	287	22.48	21.68	43	156	980
impact	1	Retail	4	04/08/2025	King-Smith	story	BB1531	sport	9520585277228	at	sense	0.75	756.79	915.3	90	310	70.67	40.27	16	283	2286.46	148.7	238.46	327.87	158	268.95	51.77	50.23	10.76	98.15	474.8	841.33	469	21.11	31.98	6	289	885
stand	2	Wholesale	3	04/07/2025	Johnson-Harris	strong	BB3054	myself	6874034505411	successful	hold	0.26	935.41	583.35	54	152	16.09	33.66	25	292	4333.45	254.66	330.76	345.57	132	765.73	49.37	72.63	74.22	46.62	735.44	358.65	72	72.31	49.34	70	329	981
leave	1	Wholesale	1	04/09/2025	Paul-Kline	imagine	BB5277	hold	8416169284519	base	generation	0.95	671.53	766.7	53	71	84.41	23.91	46	78	1036.57	257.81	192.87	312.74	342	934.56	91.36	66.27	2.56	53.69	417.23	26.56	370	28.2	97.77	3	258	833
recent	4	Retail	2	04/10/2025	Parker-Morrison	last	BB2757	and	5964016582026	time	political	0.52	248.56	623.58	33	418	36.09	79.7	6	192	4837.19	234.91	129.17	351.65	154	687.2	84.94	65.72	85.96	76.2	102.57	385.47	283	48.12	64.04	90	88	85
resource	4	Online	11	04/09/2025	Johnson-Jones	start	BB5569	alone	9275571928560	former	rate	0.57	859.38	104.41	68	471	5.21	21.93	45	455	3267.14	142.84	462.84	345.37	144	900.32	56.79	4.26	92.95	32.13	961.85	591.17	386	82.25	82.27	10	154	167
family	5	Retail	10	04/11/2025	Horne Inc	simply	BB2786	white	8144739473123	tonight	back	0.68	545.16	390.01	95	72	79.26	69.24	6	257	3981.83	179.47	57.87	123.75	39	347.19	77.13	95.53	40.27	77.58	39.33	280.59	231	49.57	36.23	49	222	191
live	5	Wholesale	7	04/10/2025	Roach Group	begin	BB5518	occur	4422583132378	agree	herself	0.77	302.43	253.99	10	43	27.53	38.62	41	79	3958.62	165.17	62.21	12.55	158	450.29	76.37	11.12	9.64	43.67	561.42	517.32	53	3.6	36.04	12	306	613
once	3	Online	1	04/08/2025	Wood, Lara and Arnold	population	BB1146	series	7866912517783	guy	career	0.41	781.38	727.6	72	464	99.28	25.03	34	87	3741.26	93.06	141.77	141.52	75	72.63	44.03	42.69	48.94	8.62	259.18	254.12	321	50.08	62.05	59	55	139
unit	3	Retail	7	04/07/2025	Bowman, White and Burch	lead	BB8018	claim	4225358414385	face	car	0.84	386.09	863.58	57	172	43.63	82.53	42	499	3377.57	157.21	305.57	350.69	246	321.04	96.49	96.9	29.85	69.8	496.1	580.12	125	33.26	28.75	51	187	117
process	5	Retail	10	04/11/2025	Mendez-Davis	put	BB2992	Congress	9959001094390	keep	prepare	0.18	769.94	36.65	94	237	94.35	21.76	19	426	3771.34	411.29	399.87	210.48	256	147.79	30.98	26.02	16.26	42.89	383.22	454.58	307	48.44	40.68	65	473	943
purpose	4	Wholesale	1	04/10/2025	Jimenez Ltd	offer	BB4473	support	6471027677355	policy	charge	0.7	814.17	597.88	11	56	77.13	66.1	23	86	3588.0	31.71	491.97	341.96	205	967.14	33.83	79.83	11.49	10.76	229.78	749.38	286	58.47	57.95	58	192	401
form	4	Wholesale	10	04/09/2025	Flores, Travis and Reed	inside	BB2588	born	5371473210469	treat	power	0.15	997.73	487.94	38	213	92.13	9.5	47	73	2393.31	178.1	394.29	265.35	179	481.4	44.38	69.98	32.57	30.73	812.08	123.93	435	34.96	11.83	22	477	759
kid	2	Wholesale	3	04/11/2025	Estes and Sons	teach	BB5953	source	2787747016874	effect	dinner	0.16	564.25	958.88	30	409	41.1	19.26	41	337	2728.54	24.3	310.91	106.69	304	435.26	1.44	22.26	28.56	70.67	798.05	581.57	410	87.33	19.51	42	101	469
past	1	Online	11	04/08/2025	Williams-Campbell	picture	BB7480	throw	1624565060980	day	him	0.53	642.72	601.0	79	201	59.11	35.44	30	317	1690.11	340.06	402.3	460.15	303	93.9	14.26	12.67	31.23	19.12	696.5	515.72	215	60.05	57.91	55	96	499
on	5	Wholesale	11	04/08/2025	Jones-Gordon	south	BB8499	by	2165585239868	month	amount	0.55	494.75	148.89	41	432	45.65	6.31	23	488	1038.33	76.9	409.46	482.28	259	656.54	41.5	49.68	71.3	44.94	175.58	569.74	408	76.34	29.92	36	116	551
answer	3	Retail	8	04/08/2025	Taylor LLC	summer	BB7872	police	8259526949580	them	Mr	0.74	768.26	554.23	15	294	12.31	77.74	24	278	4290.44	30.39	362.3	277.71	218	111.39	83.18	75.38	30.47	99.93	455.24	355.09	419	9.61	86.66	16	398	832
no	2	Retail	12	04/08/2025	Erickson-Evans	team	BB0551	keep	9409749930974	conference	need	0.69	862.44	614.16	55	85	62.0	78.7	14	413	1237.43	181.9	147.73	274.0	166	979.21	29.97	57.7	95.29	51.93	901.15	817.03	70	96.31	78.78	8	142	888
professional	2	Wholesale	3	04/09/2025	Harvey, Randall and Hernandez	responsibility	BB3091	cut	756263689703	season	certainly	0.15	328.88	255.08	87	202	49.46	58.17	18	322	2656.9	231.48	320.48	441.26	48	408.82	75.23	69.78	87.85	46.01	493.16	586.14	445	77.64	73.54	94	498	470
